PTT,count_ptt,start_date,end_date,length_of_track,lat_min,lat_max,lon_min,lon_max,delta_lat,delta_lon
161426,130,2016-05-20 20:00:00,2016-08-18 04:00:00,"89 days, 08:00:00",36.96082143028753,41.952711204538325,-73.86329628753373,-65.75440100017221,4.991889774250794,8.10889528736152
161427,268,2017-05-17 04:00:00,2018-07-22 00:00:00,"430 days, 20:00:00",37.14818993779538,40.24006658361709,-74.85707016567079,-72.36575494549453,3.0918766458217135,2.4913152201762614
161428,437,2016-08-24 20:00:00,2017-08-06 04:00:00,"346 days, 08:00:00",35.01132174579663,39.58309552081256,-75.78573257485384,-73.01004315063552,4.571773775015934,2.7756894242183137
161429,107,2016-08-23 20:00:00,2017-08-05 04:00:00,"346 days, 08:00:00",35.139952702069586,39.51754760986905,-75.83098722690829,-72.92926621483653,4.3775949077994625,2.9017210120717607
161430,206,2017-05-17 04:00:00,2018-06-28 08:00:00,"407 days, 04:00:00",34.746943330652286,39.82321349565141,-76.14702711496209,-73.09414200967525,5.076270164999123,3.0528851052868333
161431,13,2016-08-25 16:00:00,2016-11-10 08:00:00,"76 days, 16:00:00",35.15553623607959,38.879191695858566,-75.62444613134156,-73.53011027649377,3.723655459778975,2.0943358548477846
161432,166,2017-05-17 16:00:00,2018-07-08 12:00:00,"416 days, 20:00:00",34.893979866112865,39.863711895396975,-76.05424092054763,-73.08358331083227,4.96973202928411,2.97065760971536
161433,202,2017-05-17 12:00:00,2018-05-25 16:00:00,"373 days, 04:00:00",34.329363334394735,39.06352247920721,-76.16266346620245,-73.63939422031609,4.734159144812473,2.523269245886354
161434,330,2017-05-17 08:00:00,2018-08-29 16:00:00,"469 days, 08:00:00",34.89940668980392,58.213888820263975,-75.79993173495922,-53.020845543478316,23.314482130460057,22.7790861914809
161435,51,2017-03-02 04:00:00,2017-12-16 04:00:00,"289 days, 00:00:00",35.23991385658983,35.83635194741434,-75.56278908178635,-75.29779354300867,0.5964380908245133,0.2649955387776828
161436,64,2017-03-01 04:00:00,2017-10-04 20:00:00,"217 days, 16:00:00",35.3060935994088,39.372191954365746,-75.38384581920322,-75.08636707919956,4.066098354956949,0.2974787400036547
161437,97,2016-08-26 08:00:00,2017-10-24 20:00:00,"424 days, 12:00:00",35.004984920946576,39.698950640638586,-75.58538910390774,-72.90421731180906,4.6939657196920095,2.681171792098681
161438,11,2017-02-24 04:00:00,2017-10-31 00:00:00,"248 days, 20:00:00",35.076287214318604,36.130819312383274,-75.70904836103186,-75.37115946405382,1.0545320980646693,0.33788889697804336
161439,263,2016-08-24 20:00:00,2017-10-11 00:00:00,"412 days, 04:00:00",35.092736022178286,39.63354166983947,-75.64245731942478,-73.05283485187788,4.5408056476611804,2.589622467546903
161440,290,2017-05-18 04:00:00,2018-06-19 04:00:00,"397 days, 00:00:00",34.47580401780569,38.77169416107196,-76.33158501349264,-74.00007426185793,4.29589014326627,2.3315107516347098
